,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St,Country,Type
209,FJ Klaassen,2023-2023,5,5,45.3,1,239,7,3/41,34.14,5.25,39.0,0,0,1,0,Netherlands,bowling
210,R Klein,2023-2023,9,9,73.2,5,349,10,2/31,34.90,4.75,44.0,0,0,2,0,Netherlands,bowling
211,LV van Beek,2023-2023,16,16,143.1,7,838,24,4/24,34.91,5.85,35.7,0,0,7,0,Netherlands,bowling
212,Saqib Zulfiqar,2023-2023,8,8,39.0,1,249,7,2/43,35.57,6.38,33.4,0,0,4,0,Netherlands,bowling
213,PA van Meekeren,2023-2023,14,14,115.2,3,710,18,4/23,39.44,6.15,38.4,0,0,5,0,Netherlands,bowling
214,A Dutt,2023-2023,20,20,171.2,11,905,19,3/31,47.63,5.28,54.1,0,0,7,0,Netherlands,bowling
215,VJ Kingma,2023-2023,2,2,20.0,0,146,3,2/80,48.66,7.30,40.0,0,0,0,0,Netherlands,bowling
216,RE van der Merwe,2023-2023,8,8,56.0,0,311,6,2/34,51.83,5.55,56.0,0,0,2,0,Netherlands,bowling
217,CN Ackermann,2023-2023,12,12,72.2,3,370,7,2/39,52.85,5.11,62.0,0,0,7,0,Netherlands,bowling
218,BD Glover,2023-2023,1,1,7.0,0,62,1,1/62,62.00,8.85,42.0,0,0,0,0,Netherlands,bowling
219,C Floyd,2023-2023,7,7,48.0,1,247,2,1/31,123.50,5.14,144.0,0,0,2,0,Netherlands,bowling
220,TLW Cooper,2023-2023,3,1,2.0,0,12,0,0,0,6.00,0,0,0,2,0,Netherlands,bowling
221,W Barresi,2023-2023,15,0,0.0,0,0,0,0,0,0,0,0,0,4,0,Netherlands,bowling
222,NRJ Croes,2023-2023,1,0,0.0,0,0,0,0,0,0,0,0,0,2,0,Netherlands,bowling
223,SA Edwards,2023-2023,22,0,0.0,0,0,0,0,0,0,0,0,0,30,5,Netherlands,bowling
224,SA Engelbrecht,2023-2023,8,0,0.0,0,0,0,0,0,0,0,0,0,6,0,Netherlands,bowling
225,Musa Ahmed,2023-2023,5,0,0.0,0,0,0,0,0,0,0,0,0,2,0,Netherlands,bowling
226,AT Nidamanuru,2023-2023,19,0,0.0,0,0,0,0,0,0,0,0,0,7,0,Netherlands,bowling
227,MP O'Dowd,2023-2023,22,0,0.0,0,0,0,0,0,0,0,0,0,1,0,Netherlands,bowling
228,AF Milne,2023-2023,4,4,33.3,1,184,9,4/34,20.44,5.49,22.3,0,0,1,0,NewZealand,bowling
229,DJ Mitchell,2023-2023,26,9,32.3,1,204,9,3/32,22.66,6.27,21.6,0,0,22,0,NewZealand,bowling
230,HB Shipley,2023-2023,8,8,64.3,4,359,15,5/31,23.93,5.56,25.8,1,0,2,0,NewZealand,bowling
231,TA Boult,2023-2023,15,14,121.1,7,662,24,5/51,27.58,5.46,30.2,1,0,6,0,NewZealand,bowling
232,MJ Henry,2023-2023,17,17,144.5,12,767,25,3/14,30.68,5.29,34.7,0,0,9,0,NewZealand,bowling
233,TG Southee,2023-2023,10,10,78.1,1,565,17,3/56,33.23,7.22,27.5,0,0,1,0,NewZealand,bowling
234,JA Duffy,2023-2023,1,1,10.0,0,100,3,3/100,33.33,10.00,20.0,0,0,0,0,NewZealand,bowling
235,CE McConchie,2023-2023,6,5,28.0,1,135,4,2/18,33.75,4.82,42.0,0,0,3,0,NewZealand,bowling
236,MJ Santner,2023-2023,17,17,153.5,4,770,20,5/59,38.50,5.00,46.1,1,0,8,0,NewZealand,bowling
