,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St,Country,Type
88,MJ Potts,2023-2023,2,1,7.0,0,47,2,2/47,23.50,6.71,21.0,0,0,0,0,England,bowling
89,DJ Willey,2023-2023,10,10,74.5,7,391,16,3/34,24.43,5.22,28.0,0,0,2,0,England,bowling
90,AU Rashid,2023-2023,16,16,141.4,1,791,30,4/45,26.36,5.58,28.3,0,0,4,0,England,bowling
91,OP Stone,2023-2023,2,2,17.0,1,85,3,2/48,28.33,5.00,34.0,0,0,0,0,England,bowling
92,SM Curran,2023-2023,11,11,71.2,5,449,14,4/29,32.07,6.29,30.5,0,0,5,0,England,bowling
93,CR Woakes,2023-2023,14,14,100.1,3,522,16,4/54,32.62,5.21,37.5,0,0,3,0,England,bowling
94,RJW Topley,2023-2023,9,9,70.4,3,432,13,4/43,33.23,6.11,32.6,0,0,3,0,England,bowling
95,LS Livingstone,2023-2023,10,9,48.4,1,255,7,3/16,36.42,5.23,41.7,0,0,2,0,England,bowling
96,MM Ali,2023-2023,15,15,103.0,2,593,16,4/50,37.06,5.75,38.6,0,0,11,0,England,bowling
97,BA Carse,2023-2023,3,2,15.0,0,93,2,1/40,46.50,6.20,45.0,0,0,1,0,England,bowling
98,AAP Atkinson,2023-2023,6,6,41.0,0,240,5,2/45,48.00,5.85,49.2,0,0,0,0,England,bowling
99,MA Wood,2023-2023,9,9,66.0,1,397,8,2/34,49.62,6.01,49.5,0,0,2,0,England,bowling
100,WG Jacks,2023-2023,4,3,14.0,0,72,1,1/18,72.00,5.14,84.0,0,0,1,0,England,bowling
101,JE Root,2023-2023,13,3,14.1,0,92,1,1/19,92.00,6.49,85.0,0,0,7,0,England,bowling
102,S Mahmood,2023-2023,1,1,9.0,0,41,0,0,0,4.55,0,0,0,0,0,England,bowling
103,TW Hartley,2023-2023,2,1,10.0,0,48,0,0,0,4.80,0,0,0,0,0,England,bowling
104,JM Bairstow,2023-2023,12,0,0.0,0,0,0,0,0,0,0,0,0,7,0,England,bowling
105,HC Brook,2023-2023,12,0,0.0,0,0,0,0,0,0,0,0,0,1,0,England,bowling
106,JC Buttler,2023-2023,19,0,0.0,0,0,0,0,0,0,0,0,0,29,3,England,bowling
107,Z Crawley,2023-2023,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,England,bowling
108,BM Duckett,2023-2023,5,0,0.0,0,0,0,0,0,0,0,0,0,5,0,England,bowling
109,SR Hain,2023-2023,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,England,bowling
110,DJ Malan,2023-2023,18,0,0.0,0,0,0,0,0,0,0,0,0,6,0,England,bowling
111,JJ Roy,2023-2023,6,0,0.0,0,0,0,0,0,0,0,0,0,4,0,England,bowling
112,PD Salt,2023-2023,5,0,0.0,0,0,0,0,0,0,0,0,0,1,0,England,bowling
113,JL Smith,2023-2023,2,0,0.0,0,0,0,0,0,0,0,0,0,1,0,England,bowling
114,BA Stokes,2023-2023,9,0,0.0,0,0,0,0,0,0,0,0,0,6,0,England,bowling
115,JM Vince,2023-2023,3,0,0.0,0,0,0,0,0,0,0,0,0,2,0,England,bowling
116,L Wood,2023-2023,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,England,bowling
117,RG Sharma,2023-2023,27,1,0.5,0,7,1,1/7,7.00,8.40,5.0,0,0,9,0,India,bowling
118,V Kohli,2023-2023,27,2,3.3,0,15,1,1/13,15.00,4.28,21.0,0,0,12,0,India,bowling
119,JD Unadkat,2023-2023,1,1,5.0,0,16,1,1/16,16.00,3.20,30.0,0,0,1,0,India,bowling
120,Mohammed Shami,2023-2023,19,19,132.5,12,708,43,7/57,16.46,5.32,18.5,4,0,3,0,India,bowling
121,Mukesh Kumar,2023-2023,3,3,15.0,2,69,4,3/30,17.25,4.60,22.5,0,0,0,0,India,bowling
122,Kuldeep Yadav,2023-2023,28,27,207.1,13,953,48,5/25,19.85,4.60,25.8,1,0,6,0,India,bowling
123,JJ Bumrah,2023-2023,17,16,128.5,14,568,28,4/39,20.28,4.40,27.6,0,0,1,0,India,bowling
124,Mohammed Siraj,2023-2023,25,24,172.1,17,910,44,6/21,20.68,5.28,23.4,1,0,2,0,India,bowling
125,R Ashwin,2023-2023,3,3,27.0,1,122,5,3/41,24.40,4.51,32.4,0,0,1,0,India,bowling
126,HH Pandya,2023-2023,20,19,94.3,7,522,21,3/3,24.85,5.52,27.0,0,0,7,0,India,bowling
127,SN Thakur,2023-2023,16,15,87.5,2,552,21,4/37,26.28,6.28,25.0,0,0,2,0,India,bowling
128,RA Jadeja,2023-2023,26,23,189.5,6,874,31,5/33,28.19,4.60,36.7,1,0,11,0,India,bowling
129,Umran Malik,2023-2023,5,5,28.0,0,201,6,3/57,33.50,7.17,28.0,0,0,1,0,India,bowling
130,YS Chahal,2023-2023,2,2,17.2,0,101,3,2/43,33.66,5.82,34.6,0,0,0,0,India,bowling
131,M Prasidh Krishna,2023-2023,3,3,20.0,0,144,4,2/56,36.00,7.20,30.0,0,0,1,0,India,bowling
132,AR Patel,2023-2023,8,7,42.0,1,236,4,2/57,59.00,5.61,63.0,0,0,6,0,India,bowling
133,Washington Sundar,2023-2023,6,4,26.0,1,154,2,2/7,77.00,5.92,78.0,0,0,1,0,India,bowling
134,SS Iyer,2023-2023,19,1,1.0,0,2,0,0,0,2.00,0,0,0,9,0,India,bowling
135,NT Tilak Varma,2023-2023,1,1,4.0,0,21,0,0,0,5.25,0,0,0,1,0,India,bowling
136,Shubman Gill,2023-2023,29,1,2.0,0,11,0,0,0,5.50,0,0,0,24,0,India,bowling
137,SA Yadav,2023-2023,21,1,2.0,0,17,0,0,0,8.50,0,0,0,7,0,India,bowling
138,RD Gaikwad,2023-2023,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,India,bowling
139,Ishan Kishan,2023-2023,17,0,0.0,0,0,0,0,0,0,0,0,0,10,1,India,bowling
140,KL Rahul,2023-2023,24,0,0.0,0,0,0,0,0,0,0,0,0,30,3,India,bowling
141,SV Samson,2023-2023,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,India,bowling
142,CA Young,2023-2023,5,5,38.0,1,193,11,3/31,17.54,5.07,20.7,0,0,3,0,Ireland,bowling
143,GI Hume,2023-2023,9,9,64.0,2,367,14,4/60,26.21,5.73,27.4,0,0,2,0,Ireland,bowling
144,MR Adair,2023-2023,17,17,136.5,7,773,28,4/40,27.60,5.64,29.3,0,0,9,0,Ireland,bowling
145,GH Dockrell,2023-2023,17,12,65.0,0,367,13,3/43,28.23,5.64,30.0,0,0,3,0,Ireland,bowling
146,BJ McCarthy,2023-2023,6,6,49.4,3,305,9,3/56,33.88,6.14,33.1,0,0,3,0,Ireland,bowling
147,JB Little,2023-2023,12,12,97.0,0,658,16,4/38,41.12,6.78,36.3,0,0,3,0,Ireland,bowling
148,TF van Woerkom,2023-2023,1,1,4.0,0,47,1,1/47,47.00,11.75,24.0,0,0,1,0,Ireland,bowling
149,C Campher,2023-2023,16,15,71.1,1,456,9,2/14,50.66,6.40,47.4,0,0,6,0,Ireland,bowling
150,AR McBrine,2023-2023,15,14,102.0,2,541,9,2/19,60.11,5.30,68.0,0,0,7,0,Ireland,bowling
151,GJ Delany,2023-2023,8,5,36.0,0,212,3,2/52,70.66,5.88,72.0,0,0,5,0,Ireland,bowling
152,B White,2023-2023,2,2,18.0,0,118,1,1/59,118.00,6.55,108.0,0,0,0,0,Ireland,bowling
153,HT Tector,2023-2023,17,5,22.0,0,143,1,1/20,143.00,6.50,132.0,0,0,9,0,Ireland,bowling
154,MJ Humphreys,2023-2023,2,2,11.0,0,95,0,0,0,8.63,0,0,0,0,0,Ireland,bowling
155,A Balbirnie,2023-2023,15,0,0.0,0,0,0,0,0,0,0,0,0,6,0,Ireland,bowling
156,M Commins,2023-2023,2,0,0.0,0,0,0,0,0,0,0,0,0,1,0,Ireland,bowling
157,ST Doheny,2023-2023,9,0,0.0,0,0,0,0,0,0,0,0,0,3,0,Ireland,bowling
158,PR Stirling,2023-2023,17,0,0.0,0,0,0,0,0,0,0,0,0,7,0,Ireland,bowling
159,LJ Tucker,2023-2023,17,0,0.0,0,0,0,0,0,0,0,0,0,20,2,Ireland,bowling
160,JTS Sumerauer,2023-2023,5,5,49.0,5,245,11,4/51,22.27,5.00,26.7,0,0,1,0,Jersey,bowling
161,CW Perchard,2023-2023,5,5,45.0,3,208,9,3/38,23.11,4.62,30.0,0,0,0,0,Jersey,bowling
162,B Ward,2023-2023,5,5,40.1,2,221,6,4/39,36.83,5.50,40.1,0,0,3,0,Jersey,bowling
163,EJB Miles,2023-2023,4,4,29.0,1,165,4,2/32,41.25,5.68,43.5,0,0,0,0,Jersey,bowling
164,D Birrell,2023-2023,1,1,10.0,0,54,1,1/54,54.00,5.40,60.0,0,0,0,0,Jersey,bowling
165,AW Hawkins-Kay,2023-2023,1,1,9.0,0,58,1,1/58,58.00,6.44,54.0,0,0,0,0,Jersey,bowling
166,HL Carlyon,2023-2023,5,4,30.0,2,141,2,2/38,70.50,4.70,90.0,0,0,0,0,Jersey,bowling
167,DG Blampied,2023-2023,3,3,13.0,1,77,0,0,0,5.92,0,0,0,0,0,Jersey,bowling
168,AM Tribe,2023-2023,5,3,4.0,0,30,0,0,0,7.50,0,0,0,2,0,Jersey,bowling
169,BDH Stevens,2023-2023,1,1,3.0,0,28,0,0,0,9.33,0,0,0,0,0,Jersey,bowling
170,JSE Dunford,2023-2023,5,0,0.0,0,0,0,0,0,0,0,0,0,2,0,Jersey,bowling
171,NA Greenwood,2023-2023,5,0,0.0,0,0,0,0,0,0,0,0,0,4,0,Jersey,bowling
172,JW Jenner,2023-2023,5,0,0.0,0,0,0,0,0,0,0,0,0,2,0,Jersey,bowling
173,JAD Lawrenson,2023-2023,5,0,0.0,0,0,0,0,0,0,0,0,0,1,0,Jersey,bowling
174,R Trumpelmann,2023-2023,11,11,99.0,6,442,24,5/30,18.41,4.46,24.7,1,0,3,0,Namibia,bowling
175,T Lungameni,2023-2023,6,6,50.0,6,204,10,4/20,20.40,4.08,30.0,0,0,3,0,Namibia,bowling
176,S Fouche,2023-2023,7,5,26.0,1,130,6,3/46,21.66,5.00,26.0,0,0,3,0,Namibia,bowling
177,JN Loftie-Eaton,2023-2023,11,3,8.4,1,65,3,3/54,21.66,7.50,17.3,0,0,1,0,Namibia,bowling
178,MG Erasmus,2023-2023,11,7,37.5,1,190,8,2/23,23.75,5.02,28.3,0,0,7,0,Namibia,bowling
179,BM Scholtz,2023-2023,11,11,99.0,11,366,12,3/67,30.50,3.69,49.5,0,0,0,0,Namibia,bowling
180,B Shikongo,2023-2023,10,10,67.0,4,420,13,3/42,32.30,6.26,30.9,0,0,1,0,Namibia,bowling
181,HN Ya France,2023-2023,11,10,65.1,3,312,6,2/27,52.00,4.78,65.1,0,0,4,0,Namibia,bowling
182,K Birkenstock,2023-2023,8,7,33.0,0,214,2,1/34,107.00,6.48,99.0,0,0,3,0,Namibia,bowling
183,M van Lingen,2023-2023,10,2,2.0,0,20,0,0,0,10.00,0,0,0,5,0,Namibia,bowling
184,N Davin,2023-2023,5,0,0.0,0,0,0,0,0,0,0,0,0,4,0,Namibia,bowling
185,MD du Preez,2023-2023,2,0,0.0,0,0,0,0,0,0,0,0,0,2,0,Namibia,bowling
186,JN Frylinck,2023-2023,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Namibia,bowling
187,ZE Green,2023-2023,11,0,0.0,0,0,0,0,0,0,0,0,0,14,1,Namibia,bowling
188,L Louwrens,2023-2023,6,0,0.0,0,0,0,0,0,0,0,0,0,1,0,Namibia,bowling
189,LN Rajbanshi,2023-2023,12,12,95.0,7,347,18,5/20,19.27,3.65,31.6,1,0,5,0,Nepal,bowling
190,S Lamichhane,2023-2023,21,21,195.2,9,948,43,5/25,22.04,4.85,27.2,1,0,1,0,Nepal,bowling
191,K Mahato,2023-2023,1,1,10.0,0,55,2,2/55,27.50,5.50,30.0,0,0,0,0,Nepal,bowling
192,Karan KC,2023-2023,20,20,149.4,14,853,31,5/61,27.51,5.69,28.9,1,0,4,0,Nepal,bowling
193,DS Airee,2023-2023,21,21,139.1,9,567,17,3/18,33.35,4.07,49.1,0,0,15,0,Nepal,bowling
194,K Bhurtel,2023-2023,21,3,8.0,0,36,1,1/22,36.00,4.50,48.0,0,0,12,0,Nepal,bowling
195,Gulsan Jha,2023-2023,15,15,79.3,0,491,13,3/28,37.76,6.17,36.6,0,0,5,0,Nepal,bowling
196,Kushal Malla,2023-2023,21,17,83.0,3,431,11,2/6,39.18,5.19,45.2,0,0,4,0,Nepal,bowling
197,Sompal Kami,2023-2023,17,17,121.3,17,648,15,3/26,43.20,5.33,48.6,0,0,3,0,Nepal,bowling
198,Pratis GC,2023-2023,3,3,21.0,0,90,2,1/37,45.00,4.28,63.0,0,0,1,0,Nepal,bowling
199,Aarif Sheikh,2023-2023,16,10,38.3,0,210,2,1/30,105.00,5.45,115.5,0,0,10,0,Nepal,bowling
200,RK Paudel,2023-2023,22,4,18.1,0,70,0,0,0,3.85,0,0,0,5,0,Nepal,bowling
201,Aasif Sheikh,2023-2023,20,0,0.0,0,0,0,0,0,0,0,0,0,10,1,Nepal,bowling
202,S Jora,2023-2023,4,0,0.0,0,0,0,0,0,0,0,0,0,1,0,Nepal,bowling
203,G Malla,2023-2023,11,0,0.0,0,0,0,0,0,0,0,0,0,5,0,Nepal,bowling
204,A Saud,2023-2023,2,0,0.0,0,0,0,0,0,0,0,0,0,3,0,Nepal,bowling
205,B Sharki,2023-2023,15,0,0.0,0,0,0,0,0,0,0,0,0,3,0,Nepal,bowling
206,BFW de Leede,2023-2023,16,15,125.4,1,819,31,5/52,26.41,6.51,24.3,1,0,8,0,Netherlands,bowling
207,Vikramjit Singh,2023-2023,19,12,36.0,1,221,7,2/12,31.57,6.13,30.8,0,0,5,0,Netherlands,bowling
208,Shariz Ahmad,2023-2023,10,9,52.4,2,348,11,5/43,31.63,6.60,28.7,1,0,3,0,Netherlands,bowling
