,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St,Type,Name,Age,Batting style,Bowling style,Role,Arm,Consolidated_Bowling_Style,BF,HS,Team 1,Team 2,Winner,Margin,Wins,Country
3120,DJ Malan,18.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,bowling,Malan Kruger,28,Right-handed,Slow left arm orthodox,Spin Bowler,Left,Slow left arm,,,,,,,10,England
3121,JJ Roy,6.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,bowling,,,,,,,,,,,,,,10,England
3208,PD Salt,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,bowling,,,,,,,,,,,,,,10,England
3295,JL Smith,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,bowling,JJ Smit,28,Right-handed,Left arm medium fast,All-Rounders,Left,Fast medium,,,,,,,10,England
3296,BA Stokes,9.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,bowling,,,,,,,,,,,,,,10,England
3383,JM Vince,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,bowling,,,,,,,,,,,,,,10,England
3470,L Wood,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bowling,K. L. Rahul,31,Right-handed,Other,Wicket Keeper,Other,Other,,,,,,,10,England
3471,RG Sharma,27.0,1.0,0.5,0.0,7.0,1.0,1/7,7.0,8.4,5.0,0.0,0.0,9.0,0.0,bowling,Aryansh Sharma,18,Right-handed,Slow left arm orthodox,Wicket Keeper,Left,Slow left arm,,,,,,,25,India
3472,V Kohli,27.0,2.0,3.3,0.0,15.0,1.0,1/13,15.0,4.28,21.0,0.0,0.0,12.0,0.0,bowling,Virat Kohli,35,Right-handed,Right arm medium,Batters,Right,Medium,,,,,,,25,India
3473,JD Unadkat,1.0,1.0,5.0,0.0,16.0,1.0,1/16,16.0,3.2,30.0,0.0,0.0,1.0,0.0,bowling,Jaydev Unadkat,32,Right-handed,Left arm medium,Pace Bowler,Left,Medium,,,,,,,25,India
3474,Mohammed Shami,19.0,19.0,132.5,12.0,708.0,43.0,7/57,16.46,5.32,18.5,4.0,0.0,3.0,0.0,bowling,Mohammed Shami,33,Right-handed,Right arm fast,Pace Bowler,Right,Fast,,,,,,,25,India
3475,Mukesh Kumar,3.0,3.0,15.0,2.0,69.0,4.0,3/30,17.25,4.6,22.5,0.0,0.0,0.0,0.0,bowling,Mukesh Kumar,30,Right-handed,Right arm medium,Pace Bowler,Right,Medium,,,,,,,25,India
3476,Kuldeep Yadav,28.0,27.0,207.1,13.0,953.0,48.0,5/25,19.85,4.6,25.8,1.0,0.0,6.0,0.0,bowling,Kuldeep Yadav,28,Left-handed,Left arm unorthodox spin,Spin Bowler,Left,Unorthodox spin,,,,,,,25,India
3477,JJ Bumrah,17.0,16.0,128.5,14.0,568.0,28.0,4/39,20.28,4.4,27.6,0.0,0.0,1.0,0.0,bowling,Jasprit Bumrah,29,Right-handed,Right arm fast,Pace Bowler,Right,Fast,,,,,,,25,India
3478,Mohammed Siraj,25.0,24.0,172.1,17.0,910.0,44.0,6/21,20.68,5.28,23.4,1.0,0.0,2.0,0.0,bowling,Mohammed Siraj,29,Right-handed,Right arm fast,Pace Bowler,Right,Fast,,,,,,,25,India
3479,R Ashwin,3.0,3.0,27.0,1.0,122.0,5.0,3/41,24.4,4.51,32.4,0.0,0.0,1.0,0.0,bowling,Ravichandran Ashwin,37,Right-handed,Right arm off spin,All-Rounders,Right,Off spin,,,,,,,25,India
3480,HH Pandya,20.0,19.0,94.3,7.0,522.0,21.0,3/3,24.85,5.52,27.0,0.0,0.0,7.0,0.0,bowling,,,,,,,,,,,,,,25,India
3567,SN Thakur,16.0,15.0,87.5,2.0,552.0,21.0,4/37,26.28,6.28,25.0,0.0,0.0,2.0,0.0,bowling,Shardul Thakur,32,Right-handed,Right arm medium,Pace Bowler,Right,Medium,,,,,,,25,India
3568,RA Jadeja,26.0,23.0,189.5,6.0,874.0,31.0,5/33,28.19,4.6,36.7,1.0,0.0,11.0,0.0,bowling,Ravindra Jadeja,34,Left-handed,Left arm orthodox spin,All-Rounders,Left,Orthodox spin,,,,,,,25,India
3569,Umran Malik,5.0,5.0,28.0,0.0,201.0,6.0,3/57,33.5,7.17,28.0,0.0,0.0,1.0,0.0,bowling,Umran Malik,24,Right-handed,Right arm fast,Pace Bowler,Right,Fast,,,,,,,25,India
3570,YS Chahal,2.0,2.0,17.2,0.0,101.0,3.0,2/43,33.66,5.82,34.6,0.0,0.0,0.0,0.0,bowling,Yuzvendra Chahal,33,Right-handed,Right arm leg spin,Spin Bowler,Right,Leg spin,,,,,,,25,India
3571,M Prasidh Krishna,3.0,3.0,20.0,0.0,144.0,4.0,2/56,36.0,7.2,30.0,0.0,0.0,1.0,0.0,bowling,Prasidh Krishna,27,Right-handed,Right arm fast medium,Pace Bowler,Right,Fast medium,,,,,,,25,India
3572,AR Patel,8.0,7.0,42.0,1.0,236.0,4.0,2/57,59.0,5.61,63.0,0.0,0.0,6.0,0.0,bowling,Axar Patel,29,Left-handed,Left arm orthodox spin,All-Rounders,Left,Orthodox spin,,,,,,,25,India
3573,Washington Sundar,6.0,4.0,26.0,1.0,154.0,2.0,2/7,77.0,5.92,78.0,0.0,0.0,1.0,0.0,bowling,Washington Sundar,24,Left-handed,Right arm off spin,All-Rounders,Right,Off spin,,,,,,,25,India
3574,SS Iyer,19.0,1.0,1.0,0.0,2.0,0.0,0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,bowling,Shreyas Iyer,28,Right-handed,Right arm leg spin,Batters,Right,Leg spin,,,,,,,25,India
3575,NT Tilak Varma,1.0,1.0,4.0,0.0,21.0,0.0,0,0.0,5.25,0.0,0.0,0.0,1.0,0.0,bowling,Tilak Varma,21,Left-handed,Right arm off spin,All-Rounders,Right,Off spin,,,,,,,25,India
3576,Shubman Gill,29.0,1.0,2.0,0.0,11.0,0.0,0,0.0,5.5,0.0,0.0,0.0,24.0,0.0,bowling,Shubman Gill,24,Right-handed,Right arm off spin,Batters,Right,Off spin,,,,,,,25,India
3577,SA Yadav,21.0,1.0,2.0,0.0,17.0,0.0,0,0.0,8.5,0.0,0.0,0.0,7.0,0.0,bowling,Suryakumar Yadav,33,Right-handed,Right arm off spin,Batters,Right,Off spin,,,,,,,25,India
3578,RD Gaikwad,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bowling,Ruturaj Gaikwad,26,Right-handed,Other,Batters,Other,Other,,,,,,,25,India
3579,Ishan Kishan,17.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,bowling,Ishan Kishan,25,Left-handed,Other,Wicket Keeper,Other,Other,,,,,,,25,India
3580,KL Rahul,24.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,30.0,3.0,bowling,K. L. Rahul,31,Right-handed,Other,Wicket Keeper,Other,Other,,,,,,,25,India
3581,SV Samson,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,25,India
3668,CA Young,5.0,5.0,38.0,1.0,193.0,11.0,3/31,17.54,5.07,20.7,0.0,0.0,3.0,0.0,bowling,Craig Young,33,Right-handed,Right arm fast medium,Pace Bowler,Right,Fast medium,,,,,,,4,Ireland
3669,GI Hume,9.0,9.0,64.0,2.0,367.0,14.0,4/60,26.21,5.73,27.4,0.0,0.0,2.0,0.0,bowling,Graham Hume,32,Left-handed,Right arm fast medium,Pace Bowler,Right,Fast medium,,,,,,,4,Ireland
3670,MR Adair,17.0,17.0,136.5,7.0,773.0,28.0,4/40,27.6,5.64,29.3,0.0,0.0,9.0,0.0,bowling,Mark Adair,27,Right-handed,Right arm fast medium,Pace Bowler,Right,Fast medium,,,,,,,4,Ireland
3671,GH Dockrell,17.0,12.0,65.0,0.0,367.0,13.0,3/43,28.23,5.64,30.0,0.0,0.0,3.0,0.0,bowling,George Dockrell,31,Right-handed,Slow left arm orthodox,All-Rounders,Left,Slow left arm,,,,,,,4,Ireland
3672,BJ McCarthy,6.0,6.0,49.4,3.0,305.0,9.0,3/56,33.88,6.14,33.1,0.0,0.0,3.0,0.0,bowling,Barry McCarthy,31,Right-handed,Right arm medium,Pace Bowler,Right,Medium,,,,,,,4,Ireland
3673,JB Little,12.0,12.0,97.0,0.0,658.0,16.0,4/38,41.12,6.78,36.3,0.0,0.0,3.0,0.0,bowling,Josh Little,24,Right-handed,Left arm fast medium,Pace Bowler,Left,Fast medium,,,,,,,4,Ireland
3674,TF van Woerkom,1.0,1.0,4.0,0.0,47.0,1.0,1/47,47.0,11.75,24.0,0.0,0.0,1.0,0.0,bowling,Rassie van der Dussen,34,Right-handed,Right arm leg break,Batters,Right,Leg break,,,,,,,4,Ireland
3675,C Campher,16.0,15.0,71.1,1.0,456.0,9.0,2/14,50.66,6.4,47.4,0.0,0.0,6.0,0.0,bowling,Curtis Campher,24,Right-handed,Right arm medium fast,All-Rounders,Right,Fast medium,,,,,,,4,Ireland
3676,AR McBrine,15.0,14.0,102.0,2.0,541.0,9.0,2/19,60.11,5.3,68.0,0.0,0.0,7.0,0.0,bowling,Andy McBrine,30,Left-handed,Right arm off break,Spin Bowler,Right,Off break,,,,,,,4,Ireland
3677,GJ Delany,8.0,5.0,36.0,0.0,212.0,3.0,2/52,70.66,5.88,72.0,0.0,0.0,5.0,0.0,bowling,,,,,,,,,,,,,,4,Ireland
3764,B White,2.0,2.0,18.0,0.0,118.0,1.0,1/59,118.0,6.55,108.0,0.0,0.0,0.0,0.0,bowling,Ben White,25,Right-handed,Right arm leg break,Spin Bowler,Right,Leg break,,,,,,,4,Ireland
