,Player,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0
92,PWH de Silva,2023-2023,14,11,2,160,29*,17.77,131.14,-,-,1
93,T de Zorzi,2023-2023,2,2,0,48,27,24.00,100.0,-,-,-
94,GH Dockrell,2023-2023,17,12,4,441,91*,55.12,98.43,-,3,1
95,ST Doheny,2023-2023,9,7,0,162,84,23.14,63.52,-,1,-
96,K Doriga,2023-2023,13,13,0,333,73,25.61,68.8,-,2,1
97,DC Drakes,2023-2023,3,2,0,11,8,5.50,64.7,-,-,-
98,BM Duckett,2023-2023,5,5,1,178,107*,44.50,105.32,1,-,1
99,JA Duffy,2023-2023,1,1,0,-,0,0.00,0.0,-,-,1
100,JSE Dunford,2023-2023,5,4,0,10,4,2.50,37.03,-,-,1
101,MD du Preez,2023-2023,2,2,0,10,5,5.00,33.33,-,-,-
102,A Dutt,2023-2023,20,15,4,124,23*,11.27,77.98,-,-,1
103,N Dutta,2023-2023,5,5,2,81,56,27.00,57.85,-,1,1
104,Ebadot Hossain,2023-2023,8,3,3,3,1*,-,37.5,-,-,-
105,SA Edwards,2023-2023,22,21,4,697,83,41.00,99.42,-,6,2
106,NT Ellis,2023-2023,5,4,2,57,18,28.50,111.76,-,-,-
107,SA Engelbrecht,2023-2023,8,8,0,300,70,37.50,66.66,-,2,-
108,MG Erasmus,2023-2023,11,11,1,411,125,41.10,86.7,1,2,2
109,CR Ervine,2023-2023,11,11,2,395,121*,43.88,86.62,1,1,-
110,AC Evans,2023-2023,1,1,0,-,0,0.00,0.0,-,-,1
111,B Evans,2023-2023,7,6,1,40,14,8.00,88.88,-,-,1
112,Faheem Ashraf,2023-2023,3,2,0,6,4,3.00,42.85,-,-,-
113,Fakhar Zaman,2023-2023,20,19,2,864,180*,50.82,92.9,4,2,1
114,Fareed Ahmad,2023-2023,4,3,1,30,17,15.00,73.17,-,-,1
115,Fayyaz Butt,2023-2023,7,4,1,52,19,17.33,81.25,-,-,-
116,Fazalhaq Farooqi,2023-2023,17,11,7,14,6*,3.50,32.55,-,-,2
117,LH Ferguson,2023-2023,18,10,4,42,13,7.00,57.53,-,-,-
118,MNK Fernando,2023-2023,4,4,0,75,50,18.75,71.42,-,1,-
119,WIA Fernando,2023-2023,3,3,0,26,20,8.66,78.78,-,-,-
120,C Floyd,2023-2023,7,2,1,9,9,9.00,112.5,-,-,-
121,BC Fortuin,2023-2023,2,1,0,1,1,1.00,50.0,-,-,-
122,S Fouche,2023-2023,7,7,0,209,83,29.85,65.93,-,2,2
123,D Foxcroft,2023-2023,1,1,0,-,0,0.00,0.0,-,-,1
124,JN Frylinck,2023-2023,1,1,0,13,13,13.00,130.0,-,-,-
125,RD Gaikwad,2023-2023,3,3,0,87,71,29.00,84.46,-,1,-
126,BD Glover,2023-2023,1,-,0,-,-,-,0.0,-,-,-
127,JOA Gordon,2023-2023,5,3,0,3,2,1.00,18.75,-,-,1
128,CN Greaves,2023-2023,11,9,1,154,56*,19.25,96.25,-,1,1
129,C Green,2023-2023,10,9,1,152,47,19.00,72.72,-,-,-
130,ZE Green,2023-2023,11,9,1,276,75*,34.50,101.47,-,1,-
131,NA Greenwood,2023-2023,5,5,0,94,59,18.80,69.11,-,1,-
132,Gulbadin Naib,2023-2023,4,4,0,57,22,14.25,107.54,-,-,1
133,Gulsan Jha,2023-2023,15,13,4,350,67*,38.88,80.09,-,3,-
134,J Gumbie,2023-2023,7,7,0,190,78,27.14,68.59,-,1,2
135,SR Hain,2023-2023,2,2,0,106,89,53.00,106.0,-,1,-
136,Hamza Tahir,2023-2023,2,-,0,-,-,-,0.0,-,-,-
137,AM Hardie,2023-2023,1,1,0,3,3,3.00,60.0,-,-,-
138,Haris Rauf,2023-2023,22,10,4,59,35,9.83,96.72,-,-,1
139,Haris Sohail,2023-2023,3,3,0,64,32,21.33,92.75,-,-,-
140,TW Hartley,2023-2023,2,1,1,12,12*,-,133.33,-,-,-
141,Hasan Ali,2023-2023,6,3,0,20,12,6.66,71.42,-,-,1
142,Hasan Mahmud,2023-2023,14,9,4,44,15,8.80,54.32,-,-,1
143,Hashmatullah Shahidi,2023-2023,20,20,5,580,80,38.66,74.26,-,6,1
144,AW Hawkins-Kay,2023-2023,1,1,0,7,7,7.00,46.66,-,-,-
145,JR Hazlewood,2023-2023,16,8,5,40,23,13.33,137.93,-,-,1
146,Hazrat Bilal,2023-2023,4,2,1,3,2*,3.00,23.07,-,-,-
147,TM Head,2023-2023,13,13,2,570,137,51.81,133.17,2,3,1
148,R Hekure,2023-2023,13,12,0,166,58,13.83,76.14,-,1,2
149,MADI Hemantha,2023-2023,5,4,2,39,22,19.50,100.0,-,-,1
150,RR Hendricks,2023-2023,5,5,0,216,85,43.20,92.3,-,2,-
151,MJ Henry,2023-2023,17,10,4,32,10*,5.33,86.48,-,-,3
152,SO Hetmyer,2023-2023,3,3,0,24,11,8.00,60.0,-,-,-
153,D Heyliger,2023-2023,2,2,0,7,5,3.50,87.5,-,-,-
154,H Hiri,2023-2023,10,10,0,179,77,17.90,63.25,-,1,-
155,KAR Hodge,2023-2023,3,2,0,26,26,13.00,89.65,-,-,1
156,JO Holder,2023-2023,7,7,1,195,56,32.50,87.44,-,1,-
157,SD Hope,2023-2023,14,14,4,632,132,63.20,96.19,2,3,-
158,AJ Hosein,2023-2023,9,6,4,32,14,16.00,53.33,-,-,-
159,GI Hume,2023-2023,9,3,2,20,15*,20.00,55.55,-,-,-
160,MJ Humphreys,2023-2023,2,1,1,4,4*,-,57.14,-,-,-
161,Ibrahim Zadran,2023-2023,20,20,2,854,129*,47.44,79.36,2,5,2
162,Iftikhar Ahmed,2023-2023,18,15,4,490,109*,44.54,114.48,1,1,-
163,Ihsanullah,2023-2023,1,-,0,-,-,-,0.0,-,-,-
164,Ikram Alikhil,2023-2023,9,4,1,93,58,31.00,84.54,-,1,-
165,Imam-ul-Haq,2023-2023,18,17,0,610,91,35.88,81.44,-,6,-
166,JP Inglis,2023-2023,16,14,0,287,58,20.50,97.28,-,2,2
167,Ishan Kishan,2023-2023,17,15,2,456,82,35.07,93.63,-,4,1
168,SS Iyer,2023-2023,19,18,3,794,128*,52.93,112.3,3,3,1
169,WG Jacks,2023-2023,4,4,0,160,94,40.00,111.11,-,1,-
170,RA Jadeja,2023-2023,26,17,7,309,45*,30.90,75.0,-,-,-
171,KA Jamieson,2023-2023,5,3,0,49,20,16.33,69.01,-,-,-
172,M Jansen,2023-2023,20,17,5,406,75*,33.83,116.0,-,1,1
173,J Jarvis,2023-2023,3,3,0,28,26,9.33,59.57,-,-,1
174,Jasdeep Singh,2023-2023,10,10,1,177,38,19.66,72.24,-,-,-
175,Jatinder Singh,2023-2023,9,9,0,122,42,13.55,53.5,-,-,-
176,JNT Seales,2023-2023,3,2,0,1,1,0.50,8.33,-,-,1
177,Jay Odedra,2023-2023,6,3,1,4,2*,2.00,28.57,-,-,1
178,JW Jenner,2023-2023,5,5,0,139,76,27.80,71.64,-,1,1
179,A Johnson,2023-2023,5,5,0,123,53,24.60,103.36,-,1,-
180,SH Johnson,2023-2023,1,1,1,-,0*,-,0.0,-,-,-
181,LM Jongwe,2023-2023,4,3,1,54,43*,27.00,125.58,-,-,-
182,S Jora,2023-2023,4,4,0,37,28,9.25,78.72,-,-,-
183,AS Joseph,2023-2023,9,6,2,52,26,13.00,72.22,-,-,-
184,Junaid Siddique,2023-2023,23,16,3,57,16*,4.38,53.27,-,-,5
185,I Kaia,2023-2023,6,6,1,150,51,30.00,67.26,-,1,-
186,Kaleemullah,2023-2023,5,3,0,5,2,1.66,62.5,-,-,-
187,Kaleem Sana,2023-2023,5,5,4,40,16*,40.00,62.5,-,-,1
188,SI Kamea,2023-2023,12,10,7,11,5*,3.66,35.48,-,-,2
189,Kamran Ghulam,2023-2023,1,-,0,-,-,-,0.0,-,-,-
190,Karan KC,2023-2023,20,12,6,154,31*,25.66,106.94,-,-,-
191,J Kariko,2023-2023,3,2,0,8,8,4.00,66.66,-,-,1
192,Karim Janat,2023-2023,2,2,0,23,22,11.50,164.28,-,-,-
193,C Karunaratne,2023-2023,8,7,0,75,24,10.71,51.36,-,-,-
194,FDM Karunaratne,2023-2023,16,16,2,549,103,39.21,87.98,1,5,1
195,BA King,2023-2023,14,14,0,570,112,40.71,91.93,2,3,2
196,VJ Kingma,2023-2023,2,1,0,1,1,1.00,33.33,-,-,-
197,NR Kirton,2023-2023,3,3,0,98,50,32.66,64.9,-,1,-
198,H Klaasen,2023-2023,21,20,2,900,174,50.00,143.31,3,2,1
199,FJ Klaassen,2023-2023,5,4,3,12,10*,12.00,80.0,-,-,1
200,R Klein,2023-2023,9,5,0,31,8,6.20,47.69,-,-,-
201,V Kohli,2023-2023,27,24,5,1377,166*,72.47,99.13,6,8,1
202,Kuldeep Yadav,2023-2023,28,11,4,61,10*,8.71,46.56,-,-,1
203,CBRLS Kumara,2023-2023,13,9,2,38,10,5.42,50.0,-,-,1
204,Kushal Malla,2023-2023,21,20,2,549,108,30.50,107.01,1,3,-
205,M Labuschagne,2023-2023,22,20,2,826,124,45.88,81.78,1,5,-
206,S Lamichhane,2023-2023,21,14,3,206,35*,18.72,76.86,-,-,2
207,TWM Latham,2023-2023,27,24,2,570,98,25.90,79.72,-,5,2
208,JAD Lawrenson,2023-2023,5,5,0,243,114,48.60,77.88,1,1,-
209,MA Leask,2023-2023,11,9,2,333,107*,47.57,120.65,1,1,1
210,BG Lister,2023-2023,3,3,2,10,5*,10.00,71.42,-,-,-
211,JB Little,2023-2023,12,4,2,54,29,27.00,120.0,-,-,-
212,Litton Das,2023-2023,26,25,2,622,76,27.04,84.16,-,5,5
213,LS Livingstone,2023-2023,10,10,1,246,95*,27.33,93.53,-,2,1
214,JN Loftie-Eaton,2023-2023,11,10,1,170,61,18.88,73.59,-,1,2
215,L Louwrens,2023-2023,6,6,0,207,54,34.50,66.55,-,2,-
216,Lovepreet Singh,2023-2023,2,2,0,9,6,4.50,36.0,-,-,-
217,T Lungameni,2023-2023,6,4,1,10,5,3.33,66.66,-,-,-
218,AR McBrine,2023-2023,15,11,1,160,35,16.00,66.94,-,-,1
219,TSS Mackintosh,2023-2023,10,9,1,169,38*,21.12,84.07,-,-,-
220,C Madande,2023-2023,8,5,1,149,74,37.25,80.1,-,2,-
221,W Madhevere,2023-2023,11,10,0,220,50,22.00,81.48,-,1,-
222,D Madushanka,2023-2023,15,9,7,33,19,16.50,44.59,-,-,-
223,SSB Magala,2023-2023,5,4,2,18,6*,9.00,81.81,-,-,-
224,KA Maharaj,2023-2023,15,8,3,61,40,12.20,70.11,-,-,1
225,K Mahato,2023-2023,1,1,1,1,1*,-,100.0,-,-,-
226,Mahedi Hasan,2023-2023,8,7,2,98,29*,19.60,63.22,-,-,-
227,S Mahmood,2023-2023,1,-,0,-,-,-,0.0,-,-,-
228,Mahmudullah,2023-2023,14,12,1,469,111,42.63,82.71,1,1,-
229,DJ Malan,2023-2023,18,18,1,995,140,58.52,98.32,4,5,1
230,G Malla,2023-2023,11,11,0,167,65,15.18,66.0,-,1,1
231,AK Markram,2023-2023,21,21,3,983,175,54.61,115.91,3,5,-
232,MR Marsh,2023-2023,20,20,2,858,177*,47.66,113.94,2,5,3
233,T Marumani,2023-2023,3,2,1,18,18*,18.00,257.14,-,-,1
234,WP Masakadza,2023-2023,11,7,2,66,34,13.20,58.4,-,-,-
235,AD Mathews,2023-2023,8,7,0,81,23,11.57,61.36,-,-,2
236,Matiullah Khan,2023-2023,1,1,1,-,0*,-,0.0,-,-,-
237,B Mavuta,2023-2023,2,-,0,-,-,-,0.0,-,-,-
238,GJ Maxwell,2023-2023,11,11,3,413,201*,51.62,145.93,2,-,1
239,KR Mayers,2023-2023,11,10,0,174,56,17.40,75.32,-,1,-
240,CM McBride,2023-2023,11,10,0,241,56,24.10,72.37,-,1,2
241,BJ McCarthy,2023-2023,6,3,1,50,41,25.00,96.15,-,-,-
242,CE McConchie,2023-2023,6,5,2,126,64*,42.00,99.21,-,1,-
243,B McMullen,2023-2023,11,10,0,421,136,42.10,85.22,2,1,-
244,Mehidy Hasan Miraz,2023-2023,24,22,1,491,112*,23.38,77.2,1,1,1
245,KP Meiyappan,2023-2023,23,19,4,143,24,9.53,48.31,-,-,5
246,BKG Mendis,2023-2023,31,30,3,893,122,33.07,91.12,1,6,4
247,EJB Miles,2023-2023,4,3,2,2,1*,2.00,22.22,-,-,1
248,DA Miller,2023-2023,21,20,4,790,101,49.37,114.65,1,6,1
249,AF Milne,2023-2023,4,3,0,7,4,2.33,36.84,-,-,1
250,DJ Mitchell,2023-2023,26,25,2,1204,134,52.34,100.24,5,3,-
251,SJ Modani,2023-2023,11,11,0,261,64,23.72,55.76,-,2,1
252,Mohammad Haris,2023-2023,2,2,1,20,17*,20.00,117.64,-,-,-
253,Mohammad Hasnain,2023-2023,1,1,1,4,4*,-,200.0,-,-,-
254,Mohammad Nabi,2023-2023,20,16,2,240,65,17.14,93.38,-,1,-
255,Mohammad Nadeem,2023-2023,9,9,4,266,65,53.20,70.55,-,2,1
256,Mohammad Naim,2023-2023,6,6,0,94,28,15.66,60.64,-,-,1
257,Mohammad Nawaz,2023-2023,15,10,2,153,39,19.12,91.61,-,-,-
258,Mohammad Rizwan,2023-2023,25,23,7,1023,131*,63.93,93.76,1,7,-
259,Mohammad Saleem,2023-2023,2,-,0,-,-,-,0.0,-,-,-
260,Mohammad Wasim,2023-2023,12,5,1,46,16*,11.50,97.87,-,-,-
261,Mohammed Shami,2023-2023,19,9,3,36,14,6.00,83.72,-,-,1
262,Mohammed Siraj,2023-2023,25,7,5,26,9*,13.00,50.0,-,-,1
263,KV Morea,2023-2023,6,5,1,15,7*,3.75,65.21,-,-,-
264,G Motie,2023-2023,3,2,2,39,39*,-,105.4,-,-,-
265,Mrittunjoy Chowdhury,2023-2023,1,1,0,8,8,8.00,72.72,-,-,-
266,Muhammad Jawadullah,2023-2023,5,4,2,14,13*,7.00,107.69,-,-,1
267,Muhammad Waseem,2023-2023,24,24,0,782,119,32.58,103.98,1,4,3
268,Mujeeb Ur Rahman,2023-2023,20,13,1,139,64,11.58,103.73,-,1,3
269,Mukesh Kumar,2023-2023,3,1,0,6,6,6.00,85.71,-,-,-
270,SR Mukkamalla,2023-2023,9,9,1,231,120*,28.87,89.53,1,1,2
271,HG Munsey,2023-2023,6,6,1,236,103*,47.20,99.57,1,1,-
272,Musa Ahmed,2023-2023,5,5,0,111,61,22.20,71.15,-,1,1
273,Mushfiqur Rahim,2023-2023,26,24,3,797,100*,37.95,87.58,1,6,-
274,Mustafizur Rahman,2023-2023,19,15,8,55,20,7.85,43.65,-,-,3
275,B Muzarabani,2023-2023,9,5,4,39,17*,39.00,100.0,-,-,1
276,Najibullah Zadran,2023-2023,10,9,1,86,23,10.75,68.8,-,-,-
277,A Nao,2023-2023,3,2,0,3,2,1.50,42.85,-,-,-
278,Naseem Khushi,2023-2023,5,3,0,82,69,27.33,122.38,-,1,-
279,Naseem Shah,2023-2023,11,3,3,28,18*,-,82.35,-,-,-
280,Nasum Ahmed,2023-2023,11,8,1,138,44,19.71,84.14,-,-,-
281,Naveen-ul-Haq,2023-2023,8,5,1,16,9*,4.00,64.0,-,-,2
282,LR Naylor,2023-2023,1,1,0,20,20,20.00,95.23,-,-,-
283,Najmul Hossain Shanto,2023-2023,24,23,1,920,117,41.81,84.24,2,7,3
284,JDS Neesham,2023-2023,5,4,1,86,58,28.66,119.44,-,1,1
285,A Neill,2023-2023,1,1,0,7,7,7.00,350.0,-,-,-
286,MG Neser,2023-2023,2,2,0,3,3,1.50,23.07,-,-,1
287,SN Netravalkar,2023-2023,10,6,3,31,14*,10.33,58.49,-,-,1
288,R Ngarava,2023-2023,12,6,1,54,35,10.80,114.89,-,-,1
289,L Ngidi,2023-2023,16,8,5,29,12*,9.66,35.8,-,-,2
290,HM Nicholls,2023-2023,14,14,4,370,50*,37.00,74.74,-,1,-
291,AT Nidamanuru,2023-2023,19,19,3,524,111,32.75,98.68,2,2,3
292,P Nissanka,2023-2023,29,29,3,1151,104,44.26,87.39,2,9,3
293,Noor Ahmad,2023-2023,6,2,0,29,26,14.50,74.35,-,-,-
294,A Nortje,2023-2023,5,2,0,15,10,7.50,78.94,-,-,-
295,Nurul Hasan,2023-2023,1,-,0,-,-,-,0.0,-,-,-
296,VM Nyauchi,2023-2023,2,1,0,7,7,7.00,77.77,-,-,-
297,MP O'Dowd,2023-2023,22,22,0,641,90,29.13,76.76,-,3,2
298,HH Pandya,2023-2023,20,13,2,383,87,34.81,94.8,-,3,-
299,AA Paradkar,2023-2023,2,2,0,24,24,12.00,68.57,-,-,1
300,Pargat Singh,2023-2023,5,5,0,213,102,42.60,80.68,1,1,1
301,WD Parnell,2023-2023,4,3,1,40,34,20.00,108.1,-,-,-
302,AR Patel,2023-2023,8,8,2,132,42,22.00,92.3,-,-,-
303,MD Patel,2023-2023,9,9,0,152,61,16.88,75.62,-,2,3
304,NK Patel,2023-2023,10,9,1,67,23,8.37,52.34,-,-,-
305,M Pathirana,2023-2023,12,7,2,11,5,2.20,31.42,-,-,2
306,RK Paudel,2023-2023,22,21,1,529,95*,26.45,75.57,-,3,2
307,KMA Paul,2023-2023,7,5,2,54,46*,18.00,125.58,-,-,-
308,CW Perchard,2023-2023,5,4,3,32,16*,32.00,84.21,-,-,-
309,MDKJ Perera,2023-2023,9,9,0,166,78,18.44,105.73,-,2,2
310,AL Phehlukwayo,2023-2023,3,3,2,78,39*,78.00,120.0,-,-,-
311,K Phillip,2023-2023,2,1,0,-,0,0.00,0.0,-,-,1
312,GD Phillips,2023-2023,21,19,3,578,72,36.12,97.8,-,4,-
313,N Pooran,2023-2023,9,9,2,428,115,61.14,112.04,2,-,-
314,MJ Potts,2023-2023,2,1,1,3,3*,-,100.0,-,-,-
315,R Powell,2023-2023,6,6,0,82,46,13.66,112.32,-,-,1
316,KH Prajapati,2023-2023,9,9,0,324,103,36.00,84.15,1,1,-
317,Pramod Madushan,2023-2023,2,2,0,2,1,1.00,22.22,-,-,-
318,M Prasidh Krishna,2023-2023,3,2,2,-,0*,-,0.0,-,-,-
319,Pratis GC,2023-2023,3,1,1,11,11*,-,183.33,-,-,-
320,K Rabada,2023-2023,14,7,3,45,17*,11.25,65.21,-,-,-
321,Rahmanullah Gurbaz,2023-2023,20,20,0,656,151,32.80,87.7,2,2,1
322,Rahmat Shah,2023-2023,18,18,1,506,77*,29.76,75.18,-,4,2
323,KL Rahul,2023-2023,24,22,8,983,111*,70.21,88.63,2,6,-
324,LN Rajbanshi,2023-2023,12,5,3,-,0*,0.00,0.0,-,-,2
325,CAK Rajitha,2023-2023,21,14,4,108,33,10.80,64.28,-,-,3
326,Rameez Shahzad,2023-2023,11,11,1,245,54*,24.50,70.6,-,1,-
327,AU Rashid,2023-2023,16,15,8,148,20,21.14,91.35,-,-,-
328,Rashid Khan,2023-2023,17,13,2,182,35*,16.54,105.2,-,-,1
329,Ravinderpal Singh,2023-2023,5,5,1,97,34,24.25,86.6,-,-,-
330,R Ravindra,2023-2023,22,18,1,767,123*,45.11,107.72,3,3,1
331,RA Reifer,2023-2023,1,1,0,15,15,15.00,50.0,-,-,-
332,Riaz Hassan,2023-2023,2,1,0,34,34,34.00,51.51,-,-,-
333,RD Rickelton,2023-2023,2,2,0,17,14,8.50,65.38,-,-,-
334,CP Rizwan,2023-2023,9,9,2,166,60*,23.71,47.15,-,1,-
335,Rohan Mustafa,2023-2023,24,23,2,316,52*,15.04,57.66,-,1,2
336,Rony Talukdar,2023-2023,1,1,0,4,4,4.00,28.57,-,-,-
337,JE Root,2023-2023,13,13,0,315,82,24.23,83.77,-,3,2
338,JJ Roy,2023-2023,6,6,0,278,132,46.33,99.28,2,-,-
339,Saad Bin Zafar,2023-2023,5,5,0,59,28,11.80,54.12,-,-,-
340,Sabir Ali,2023-2023,2,1,1,-,0*,-,0.0,-,-,-
341,PD Salt,2023-2023,5,5,0,143,61,28.60,132.4,-,1,-
342,S Samarawickrama,2023-2023,25,22,3,850,108,44.73,96.48,1,6,2
343,SV Samson,2023-2023,2,2,0,60,51,30.00,100.0,-,1,-
344,Sandeep Goud,2023-2023,4,4,0,58,46,14.50,74.35,-,-,-
345,T Sangha,2023-2023,2,1,0,-,0,0.00,0.0,-,-,1
346,MJ Santner,2023-2023,17,14,3,298,57,27.09,107.58,-,1,-
